obs_date,frb,ra_deg,dec_deg,coord_semantics,gate1_mechanical_pass,gate2_airmass_pass,gate3_moon_pass,gate4_dark_pass,gate5_dome_pass,duration_pass,rigorous_science_pass,obs_window_start_utc,obs_window_end_utc,best_start_utc,best_end_utc,min_airmass,min_moon_sep_deg,max_target_alt_deg,moon_illumination_frac,parallactic_angle_deg
2026-07-04,20180814A,65.733375,73.661306,host,True,False,True,True,True,False,False,2026-07-04 21:47:19,2026-07-05 04:44:55,,,,,,0.775,
2026-07-04,20180916B,29.501167,65.714722,host,True,False,True,True,True,False,False,2026-07-04 21:47:19,2026-07-05 04:44:55,,,,,,0.775,
2026-07-04,20181030A,158.594,73.763767,host,True,False,True,True,True,False,False,2026-07-04 21:47:19,2026-07-05 04:44:55,,,,,,0.775,
2026-07-04,20190110C,249.318458,41.443389,host,True,True,True,True,True,True,True,2026-07-04 21:47:19,2026-07-05 04:44:55,2026-07-05 00:02:19,2026-07-05 02:47:19,1.19,71.76,57.15,0.775,100.4
2026-07-04,20190208A,283.546958,46.922686,host,True,True,True,True,True,True,True,2026-07-04 21:47:19,2026-07-05 04:44:55,2026-07-04 21:47:19,2026-07-05 04:42:19,1.053,69.75,71.79,0.775,177.28
2026-07-04,20190303A,207.999417,48.120567,host,True,True,True,True,True,True,True,2026-07-04 21:47:19,2026-07-05 04:44:55,2026-07-04 21:47:19,2026-07-05 00:02:19,1.251,97.85,53.06,0.783,106.18
2026-07-04,20190417A,294.77425,59.326861,host,True,True,True,True,True,True,True,2026-07-04 21:47:19,2026-07-05 04:44:55,2026-07-04 22:17:19,2026-07-05 04:42:19,1.166,82.65,59.04,0.774,-168.85
2026-07-04,20190711A,329.419,-80.358,host,False,False,True,True,True,False,False,2026-07-04 21:47:19,2026-07-05 04:44:55,,,,,,0.775,
2026-07-04,20191106C,199.580125,42.999714,host,True,True,True,True,True,True,True,2026-07-04 21:47:19,2026-07-05 04:44:55,2026-07-04 21:47:19,2026-07-04 23:27:19,1.273,101.24,51.76,0.785,96.66
2026-07-04,20200120E,149.477973,68.816879,host,True,False,True,True,True,False,False,2026-07-04 21:47:19,2026-07-05 04:44:55,,,,,,0.775,
2026-07-04,20200223B,8.2695,28.831278,host,True,True,True,True,True,True,True,2026-07-04 21:47:19,2026-07-05 04:44:55,2026-07-05 03:12:19,2026-07-05 04:42:19,1.274,96.21,51.7,0.766,-79.19
2026-07-04,20201124A,77.014488,26.060536,host,True,False,True,True,True,False,False,2026-07-04 21:47:19,2026-07-05 04:44:55,,,,,,0.775,
2026-07-04,20220912A,347.270174,48.706618,host,True,True,True,True,True,True,True,2026-07-04 21:47:19,2026-07-05 04:44:55,2026-07-05 01:37:19,2026-07-05 04:42:19,1.192,91.11,57.06,0.768,-115.08
2026-07-04,20240114A,321.915979,4.329343,host,True,True,False,True,True,False,False,2026-07-04 21:47:19,2026-07-05 04:44:55,,,,,,0.775,
2026-07-04,20240209A,289.85036,86.0609,host,True,False,True,True,True,False,False,2026-07-04 21:47:19,2026-07-05 04:44:55,,,,,,0.775,
2026-07-04,20251229A,310.346792,16.024039,host,True,True,True,True,True,True,True,2026-07-04 21:47:19,2026-07-05 04:44:55,2026-07-04 23:42:19,2026-07-05 02:02:19,1.184,46.77,57.62,0.777,-61.08
2026-07-05,20180814A,65.733375,73.661306,host,True,False,True,True,True,False,False,2026-07-05 21:47:06,2026-07-06 04:45:29,,,,,,0.684,
2026-07-05,20180916B,29.501167,65.714722,host,True,False,True,True,True,False,False,2026-07-05 21:47:06,2026-07-06 04:45:29,,,,,,0.684,
2026-07-05,20181030A,158.594,73.763767,host,True,False,True,True,True,False,False,2026-07-05 21:47:06,2026-07-06 04:45:29,,,,,,0.684,
2026-07-05,20190110C,249.318458,41.443389,host,True,True,True,True,True,True,True,2026-07-05 21:47:06,2026-07-06 04:45:29,2026-07-05 23:57:06,2026-07-06 02:42:06,1.187,72.1,57.38,0.684,100.69
2026-07-05,20190208A,283.546958,46.922686,host,True,True,True,True,True,True,True,2026-07-05 21:47:06,2026-07-06 04:45:29,2026-07-05 21:47:06,2026-07-06 04:42:06,1.053,69.66,71.75,0.684,174.67
2026-07-05,20190303A,207.999417,48.120567,host,True,True,True,True,True,True,True,2026-07-05 21:47:06,2026-07-06 04:45:29,2026-07-05 21:47:06,2026-07-05 23:57:06,1.248,98.4,53.27,0.694,106.5
2026-07-05,20190417A,294.77425,59.326861,host,True,True,True,True,True,True,True,2026-07-05 21:47:06,2026-07-06 04:45:29,2026-07-05 22:17:06,2026-07-06 04:42:06,1.165,82.47,59.13,0.683,-170.44
2026-07-05,20190711A,329.419,-80.358,host,False,False,True,True,True,False,False,2026-07-05 21:47:06,2026-07-06 04:45:29,,,,,,0.684,
2026-07-05,20191106C,199.580125,42.999714,host,True,True,True,True,True,True,True,2026-07-05 21:47:06,2026-07-06 04:45:29,2026-07-05 21:47:06,2026-07-05 23:27:06,1.285,101.89,51.08,0.695,95.93
2026-07-05,20200120E,149.477973,68.816879,host,True,False,True,True,True,False,False,2026-07-05 21:47:06,2026-07-06 04:45:29,,,,,,0.684,
2026-07-05,20200223B,8.2695,28.831278,host,True,True,True,True,True,True,True,2026-07-05 21:47:06,2026-07-06 04:45:29,2026-07-06 03:12:06,2026-07-06 04:42:06,1.26,95.33,52.5,0.673,-79.44
2026-07-05,20201124A,77.014488,26.060536,host,True,False,True,True,True,False,False,2026-07-05 21:47:06,2026-07-06 04:45:29,,,,,,0.684,
2026-07-05,20220912A,347.270174,48.706618,host,True,True,True,True,True,True,True,2026-07-05 21:47:06,2026-07-06 04:45:29,2026-07-06 01:37:06,2026-07-06 04:42:06,1.184,90.47,57.61,0.676,-116.2
2026-07-05,20240114A,321.915979,4.329343,host,True,True,True,True,True,True,True,2026-07-05 21:47:06,2026-07-06 04:45:29,2026-07-06 00:52:06,2026-07-06 04:42:06,1.131,45.19,62.18,0.678,-26.89
2026-07-05,20240209A,289.85036,86.0609,host,True,False,True,True,True,False,False,2026-07-05 21:47:06,2026-07-06 04:45:29,,,,,,0.684,
2026-07-05,20251229A,310.346792,16.024039,host,True,True,True,True,True,True,True,2026-07-05 21:47:06,2026-07-06 04:45:29,2026-07-05 23:37:06,2026-07-06 02:02:06,1.174,46.13,58.41,0.686,-60.63
2026-07-06,20180814A,65.733375,73.661306,host,True,False,True,True,True,False,False,2026-07-06 21:46:52,2026-07-07 04:46:04,,,,,,0.583,
2026-07-06,20180916B,29.501167,65.714722,host,True,False,True,True,True,False,False,2026-07-06 21:46:52,2026-07-07 04:46:04,,,,,,0.583,
2026-07-06,20181030A,158.594,73.763767,host,True,False,True,True,True,False,False,2026-07-06 21:46:52,2026-07-07 04:46:04,,,,,,0.583,
2026-07-06,20190110C,249.318458,41.443389,host,True,True,True,True,True,True,True,2026-07-06 21:46:52,2026-07-07 04:46:04,2026-07-06 23:56:52,2026-07-07 02:36:52,1.184,72.45,57.63,0.583,100.98
